DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NUMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PRECO MEDIO REVENDA;DESVIO PADRAO REVENDA;PRECO MINIMO REVENDA;PRECO MAXIMO REVENDA;COEF DE VARIACAO REVENDA
45354;45360;NORTE;TOCANTINS;GLP;61;R$/13kg;119.64;4.890;109.99;130.00;0.041
45354;45360;NORDESTE;ALAGOAS;GNV;8;R$/m³;4.71;0.252;4.69;5.41;0.053
45354;45360;NORTE;AMAZONAS;GNV;2;R$/m³;3.99;0.000;3.99;3.99;0.000
45354;45360;NORDESTE;BAHIA;GNV;10;R$/m³;4.13;0.469;3.95;5.59;0.113
45354;45360;NORDESTE;CEARA;GNV;14;R$/m³;4.99;0.443;4.89;6.28;0.089
45354;45360;SUDESTE;ESPIRITO SANTO;GNV;14;R$/m³;4.96;0.057;4.79;4.99;0.011
45354;45360;CENTRO OESTE;MATO GROSSO;GNV;1;R$/m³;3.54;0.000;3.54;3.54;0.000
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;GNV;1;R$/m³;4.19;0.000;4.19;4.19;0.000
45354;45360;SUDESTE;MINAS GERAIS;GNV;16;R$/m³;4.90;0.242;4.50;5.37;0.049
45354;45360;NORDESTE;PARAIBA;GNV;12;R$/m³;4.72;0.305;4.72;5.73;0.065
45354;45360;SUL;PARANA;GNV;10;R$/m³;4.90;0.258;4.69;5.39;0.053
45354;45360;NORDESTE;PERNAMBUCO;GNV;29;R$/m³;4.35;0.073;4.35;4.74;0.017
45354;45360;SUDESTE;RIO DE JANEIRO;GNV;133;R$/m³;4.58;0.527;3.97;6.29;0.115
45354;45360;NORDESTE;RIO GRANDE DO NORTE;GNV;7;R$/m³;5.19;0.053;5.09;5.19;0.010
45354;45360;SUL;RIO GRANDE DO SUL;GNV;22;R$/m³;4.60;0.422;4.24;5.88;0.092
45354;45360;SUL;SANTA CATARINA;GNV;26;R$/m³;4.87;0.274;4.29;5.69;0.056
45354;45360;SUDESTE;SAO PAULO;GNV;60;R$/m³;4.26;0.340;3.79;5.12;0.080
45354;45360;NORDESTE;SERGIPE;GNV;4;R$/m³;4.92;0.000;4.92;4.92;0.000
45354;45360;NORTE;ACRE;OLEO DIESEL;16;R$/l;7.26;0.379;6.99;7.95;0.052
45354;45360;NORDESTE;ALAGOAS;OLEO DIESEL;15;R$/l;6.17;0.395;5.89;6.88;0.064
45354;45360;NORTE;AMAPA;OLEO DIESEL;9;R$/l;6.61;0.338;6.21;7.32;0.051
45354;45360;NORTE;AMAZONAS;OLEO DIESEL;26;R$/l;6.32;0.590;6.28;7.80;0.093
45354;45360;NORDESTE;BAHIA;OLEO DIESEL;167;R$/l;5.89;0.335;5.19;6.90;0.057
45354;45360;NORDESTE;CEARA;OLEO DIESEL;22;R$/l;6.03;0.287;5.65;6.54;0.048
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL;20;R$/l;5.82;0.186;5.49;6.14;0.032
45354;45360;SUDESTE;ESPIRITO SANTO;OLEO DIESEL;45;R$/l;5.82;0.156;5.62;6.25;0.027
45354;45360;CENTRO OESTE;GOIAS;OLEO DIESEL;115;R$/l;5.80;0.252;5.29;6.94;0.043
45354;45360;NORDESTE;MARANHAO;OLEO DIESEL;63;R$/l;5.68;0.287;5.18;6.54;0.051
45354;45360;CENTRO OESTE;MATO GROSSO;OLEO DIESEL;40;R$/l;6.08;0.371;5.57;6.89;0.061
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL;33;R$/l;5.91;0.508;5.49;7.39;0.086
45354;45360;SUDESTE;MINAS GERAIS;OLEO DIESEL;286;R$/l;5.75;0.230;5.29;6.49;0.040
45354;45360;NORTE;PARA;OLEO DIESEL;75;R$/l;6.16;0.375;5.75;7.46;0.061
45354;45360;NORDESTE;PARAIBA;OLEO DIESEL;30;R$/l;5.76;0.248;5.53;6.49;0.043
45354;45360;SUL;PARANA;OLEO DIESEL;151;R$/l;5.75;0.284;5.29;6.95;0.049
45354;45360;NORDESTE;PERNAMBUCO;OLEO DIESEL;12;R$/l;5.99;0.260;5.38;6.25;0.043
45354;45360;NORDESTE;PIAUI;OLEO DIESEL;30;R$/l;5.88;0.190;5.57;6.48;0.032
45354;45360;SUDESTE;RIO DE JANEIRO;OLEO DIESEL;142;R$/l;5.90;0.335;5.39;6.89;0.057
45354;45360;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL;24;R$/l;5.79;0.517;5.35;6.89;0.089
45354;45360;SUL;RIO GRANDE DO SUL;OLEO DIESEL;217;R$/l;5.90;0.291;5.34;6.79;0.049
45354;45360;NORTE;RONDONIA;OLEO DIESEL;44;R$/l;6.47;0.413;5.99;7.82;0.064
45354;45360;NORTE;RORAIMA;OLEO DIESEL;12;R$/l;6.64;0.063;6.59;6.78;0.009
45354;45360;SUL;SANTA CATARINA;OLEO DIESEL;82;R$/l;5.93;0.226;5.49;6.39;0.038
45354;45360;SUDESTE;SAO PAULO;OLEO DIESEL;480;R$/l;5.88;0.358;5.19;7.62;0.061
45354;45360;NORDESTE;SERGIPE;OLEO DIESEL;18;R$/l;5.76;0.202;5.63;6.29;0.035
45354;45360;NORTE;TOCANTINS;OLEO DIESEL;33;R$/l;5.74;0.203;5.29;6.15;0.035
45354;45360;NORTE;ACRE;OLEO DIESEL S10;18;R$/l;7.31;0.390;7.09;7.97;0.053
45354;45360;NORDESTE;ALAGOAS;OLEO DIESEL S10;36;R$/l;5.81;0.487;5.29;6.85;0.084
45354;45360;NORTE;AMAPA;OLEO DIESEL S10;12;R$/l;6.51;0.501;5.99;7.89;0.077
45354;45360;NORTE;AMAZONAS;OLEO DIESEL S10;44;R$/l;6.32;0.306;6.28;7.09;0.048
45354;45360;NORDESTE;BAHIA;OLEO DIESEL S10;213;R$/l;5.98;0.330;5.29;6.99;0.055
45354;45360;NORDESTE;CEARA;OLEO DIESEL S10;127;R$/l;5.88;0.324;5.18;6.69;0.055
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL S10;24;R$/l;5.87;0.176;5.55;6.19;0.030
45354;45360;SUDESTE;ESPIRITO SANTO;OLEO DIESEL S10;72;R$/l;5.97;0.298;5.69;7.99;0.050
45354;45360;CENTRO OESTE;GOIAS;OLEO DIESEL S10;145;R$/l;5.91;0.277;5.25;7.10;0.047
45354;45360;NORDESTE;MARANHAO;OLEO DIESEL S10;113;R$/l;5.68;0.268;5.20;6.54;0.047
45354;45360;CENTRO OESTE;MATO GROSSO;OLEO DIESEL S10;47;R$/l;6.15;0.374;5.67;6.89;0.061
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL S10;43;R$/l;6.01;0.410;5.59;7.48;0.068
45354;45360;SUDESTE;MINAS GERAIS;OLEO DIESEL S10;393;R$/l;5.85;0.237;5.39;6.69;0.040
45354;45360;NORTE;PARA;OLEO DIESEL S10;108;R$/l;6.12;0.511;5.37;7.79;0.083
45354;45360;NORDESTE;PARAIBA;OLEO DIESEL S10;51;R$/l;5.83;0.218;5.55;6.59;0.037
45354;45360;SUL;PARANA;OLEO DIESEL S10;219;R$/l;5.89;0.322;5.39;7.15;0.055
45354;45360;NORDESTE;PERNAMBUCO;OLEO DIESEL S10;155;R$/l;5.69;0.216;5.23;6.29;0.038
45354;45360;NORDESTE;PIAUI;OLEO DIESEL S10;41;R$/l;5.95;0.250;5.59;6.69;0.042
45354;45360;SUDESTE;RIO DE JANEIRO;OLEO DIESEL S10;231;R$/l;6.06;0.297;5.49;6.99;0.049
45354;45360;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL S10;24;R$/l;6.02;0.407;5.45;6.99;0.068
45354;45360;SUL;RIO GRANDE DO SUL;OLEO DIESEL S10;268;R$/l;5.98;0.278;5.45;6.92;0.046
45354;45360;NORTE;RONDONIA;OLEO DIESEL S10;46;R$/l;6.55;0.425;5.89;7.84;0.065
45354;45360;NORTE;RORAIMA;OLEO DIESEL S10;17;R$/l;6.68;0.071;6.63;6.81;0.011
45354;45360;SUL;SANTA CATARINA;OLEO DIESEL S10;140;R$/l;5.99;0.238;5.54;6.89;0.040
45354;45360;SUDESTE;SAO PAULO;OLEO DIESEL S10;874;R$/l;5.99;0.407;4.99;8.49;0.068
45354;45360;NORDESTE;SERGIPE;OLEO DIESEL S10;22;R$/l;5.87;0.244;5.74;6.39;0.042
45354;45360;NORTE;TOCANTINS;OLEO DIESEL S10;40;R$/l;5.72;0.208;5.29;6.05;0.036
