,grupo,variavel,media,mediana,variancia,desvio_padrao,coeficiente_variacao
0,GASOLINA ADITIVADA,Preço mínimo revenda,5.381,5.369999999999999,0.07936555555555554,0.2817189300624925,0.05235438209672783
1,GASOLINA ADITIVADA,Preço médio revenda,5.929,5.95,0.042432222222222156,0.2059908304323815,0.034742929740661406
2,GASOLINA ADITIVADA,Preço máximo revenda,6.934,6.79,0.20584888888888894,0.4537057293983502,0.06543203481372227
3,OLEO DIESEL,Preço mínimo revenda,5.641,5.4350000000000005,0.16763222222222224,0.4094291418819894,0.07258095051976413
4,OLEO DIESEL,Preço médio revenda,6.081,5.96,0.08829888888888891,0.2971512895628907,0.04886553026852338
5,OLEO DIESEL,Preço máximo revenda,7.025,6.885,0.3398055555555557,0.5829284309034478,0.08297913607166517
